Tanggal,Hari,Terjangkit
2 Maret,1,2
3 Maret,2,2
4 Maret,3,2
5 Maret,4,2
6 Maret,5,4
7 Maret,6,4
8 Maret,7,6
9 Maret,8,19
10 Maret,9,27
11 Maret,10,34
12 Maret,11,34
13 Maret,12,69
14 Maret,13,96
15 Maret,14,117
16 Maret,15,134
17 Maret,16,172
18 Maret,17,227
19 Maret,18,309
20 Maret,19,369
21 Maret,20,450
22 Maret,21,514
23 Maret,22,579
24 Maret,23,685
25 Maret,24,790
26 Maret,25,893
27 Maret,26,1046
28 Maret,27,1155
29 Maret,28,1285
30 Maret,29,1414
31 Maret,30,1528
1 April,31,1677
2 April,32,1790
3 April,33,1986
4 April,34,2092
5 April,35,2273
6 April,36,2491
7 April,37,2738
8 April,38,2956
9 April,39,3293
10 April,40,3512
11 April,41,3842
12 April,42,4241
13 April,43,4557
14 April,44,4839
15 April,45,5136
16 April,46,5516
